,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
SEQ_263_VIDEO/frame_5.jpg,1.0,0.0,1.0,1.0,1.0,2.0,3.0,10.0,6.0,15.0,31.0,59.0,30.0,94.0,41.0,78.0,98.0,73.0,148.0,70.0,96.0,41.0,43.0,20.0,15.0,13.0,8.0,8.0,6.0,5.0,6.0,6.0,5.0,5.0,3.0,9.0,12.0,8.0,11.0,11.0,20.0,15.0,19.0,23.0,18.0,21.0,27.0,46.0,25.0,26.0,18.0,50.0,14.0,38.0,7.0,8.0,3.0,10.0,4.0,13.0,12.0,7.0,12.0,9.0,5.0,3.0,6.0,7.0,12.0,4.0,4.0,7.0,8.0,3.0,7.0,9.0,9.0,9.0,8.0,14.0,9.0,10.0,12.0,10.0,4.0,6.0,8.0,20.0,30.0,18.0,3.0,33.0,15.0,21.0,2.0,11.0,6.0,10.0,9.0,10.0,13.0,10.0,7.0,6.0,15.0,7.0,6.0,7.0,7.0,5.0,8.0,7.0,7.0,8.0,7.0,11.0,9.0,7.0,9.0,10.0,13.0,2.0,3.0,5.0,2.0,2.0,8.0,1.0,5.0,3.0,9.0,3.0,2.0,3.0,2.0,4.0,5.0,3.0,4.0,1.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEQ_263_VIDEO/frame_6.jpg,134.0,19.0,31.0,14.0,36.0,72.0,56.0,76.0,46.0,26.0,64.0,33.0,17.0,34.0,29.0,25.0,12.0,21.0,34.0,7.0,10.0,15.0,17.0,19.0,11.0,12.0,12.0,14.0,14.0,11.0,12.0,25.0,17.0,12.0,15.0,16.0,13.0,10.0,15.0,16.0,22.0,20.0,14.0,18.0,14.0,13.0,16.0,8.0,16.0,11.0,9.0,16.0,14.0,13.0,12.0,13.0,13.0,15.0,10.0,18.0,16.0,20.0,12.0,12.0,7.0,8.0,12.0,15.0,8.0,6.0,7.0,10.0,11.0,9.0,9.0,12.0,12.0,5.0,14.0,11.0,13.0,10.0,4.0,12.0,7.0,11.0,11.0,6.0,17.0,23.0,11.0,17.0,12.0,15.0,22.0,13.0,16.0,22.0,28.0,15.0,15.0,6.0,6.0,15.0,16.0,11.0,9.0,17.0,7.0,7.0,10.0,7.0,6.0,9.0,7.0,4.0,14.0,4.0,16.0,21.0,7.0,17.0,4.0,8.0,7.0,3.0,2.0,2.0,1.0,5.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEQ_264_VIDEO/frame_3.jpg,28.0,20.0,22.0,21.0,25.0,25.0,22.0,20.0,17.0,20.0,31.0,31.0,15.0,14.0,11.0,11.0,20.0,15.0,12.0,9.0,4.0,18.0,14.0,14.0,14.0,12.0,11.0,14.0,17.0,12.0,12.0,3.0,5.0,5.0,9.0,11.0,6.0,8.0,10.0,7.0,8.0,7.0,7.0,6.0,14.0,16.0,6.0,14.0,14.0,12.0,7.0,7.0,8.0,6.0,12.0,6.0,7.0,6.0,6.0,8.0,8.0,3.0,6.0,2.0,4.0,9.0,9.0,11.0,8.0,7.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,6.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,6.0,13.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,1.0,5.0,6.0,9.0,10.0,7.0,6.0,5.0,7.0,5.0,3.0,3.0,9.0,8.0,6.0,3.0,9.0,5.0,3.0,5.0,7.0,6.0,3.0,4.0,4.0,5.0,0.0,6.0,5.0,10.0,10.0,4.0,6.0,3.0,4.0,7.0,1.0,6.0,6.0,4.0,4.0,2.0,3.0,7.0,6.0,5.0,7.0,5.0,9.0,2.0,6.0,3.0,6.0,11.0,5.0,3.0,9.0,14.0,12.0,25.0,35.0,57.0,25.0,8.0,11.0,8.0,4.0,5.0,6.0,6.0,7.0,7.0,5.0,10.0,15.0,22.0,11.0,44.0,98.0,70.0,22.0,5.0,4.0,3.0,2.0,1.0,4.0,3.0,4.0,1.0,2.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,3.0,2.0,5.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SEQ_264_VIDEO/frame_4.jpg,35.0,25.0,15.0,14.0,23.0,11.0,16.0,6.0,4.0,7.0,7.0,8.0,3.0,4.0,7.0,6.0,9.0,13.0,6.0,4.0,4.0,7.0,0.0,6.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,0.0,1.0,2.0,4.0,6.0,2.0,3.0,5.0,1.0,1.0,7.0,9.0,8.0,5.0,3.0,5.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,4.0,2.0,1.0,2.0,0.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,8.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,5.0,1.0,1.0,4.0,3.0,2.0,1.0,5.0,1.0,3.0,6.0,5.0,6.0,4.0,3.0,2.0,2.0,2.0,6.0,12.0,5.0,4.0,3.0,5.0,6.0,3.0,4.0,5.0,3.0,9.0,9.0,7.0,7.0,12.0,7.0,8.0,8.0,4.0,12.0,6.0,10.0,4.0,3.0,5.0,7.0,9.0,5.0,8.0,9.0,3.0,9.0,8.0,17.0,14.0,19.0,14.0,15.0,13.0,26.0,12.0,29.0,45.0,11.0,29.0,11.0,6.0,14.0,27.0,16.0,32.0,17.0,44.0,33.0,39.0,18.0,30.0,31.0,20.0,20.0,14.0,8.0,9.0,17.0,11.0,10.0,8.0,21.0,22.0,39.0,60.0,35.0,27.0,19.0,14.0,31.0,39.0,46.0,24.0,12.0,12.0,11.0,9.0,13.0,13.0,7.0,8.0,5.0,3.0,7.0,4.0,9.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEQ_264_VIDEO/frame_0.jpg,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,5.0,3.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,2.0,0.0,3.0,4.0,2.0,2.0,3.0,7.0,2.0,16.0,5.0,4.0,3.0,6.0,15.0,4.0,19.0,5.0,18.0,6.0,7.0,4.0,4.0,2.0,1.0,4.0,2.0,2.0,10.0,5.0,5.0,3.0,4.0,9.0,0.0,7.0,4.0,5.0,4.0,4.0,6.0,12.0,5.0,5.0,4.0,10.0,7.0,4.0,10.0,11.0,12.0,1.0,10.0,7.0,8.0,16.0,10.0,36.0,10.0,25.0,7.0,10.0,10.0,16.0,21.0,16.0,38.0,15.0,18.0,23.0,14.0,17.0,14.0,14.0,13.0,8.0,10.0,14.0,20.0,14.0,21.0,24.0,15.0,11.0,15.0,11.0,16.0,14.0,18.0,15.0,11.0,5.0,7.0,6.0,11.0,16.0,6.0,15.0,12.0,18.0,18.0,11.0,13.0,13.0,19.0,18.0,32.0,21.0,34.0,19.0,17.0,24.0,15.0,21.0,24.0,20.0,30.0,38.0,37.0,31.0,45.0,27.0,28.0,33.0,24.0,26.0,13.0,17.0,16.0,17.0,13.0,17.0,12.0,9.0,7.0,5.0,8.0,6.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEQ_264_VIDEO/frame_7.jpg,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,1.0,3.0,2.0,2.0,0.0,2.0,1.0,1.0,5.0,5.0,2.0,16.0,1.0,2.0,2.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,6.0,4.0,2.0,5.0,3.0,5.0,4.0,6.0,4.0,8.0,7.0,3.0,2.0,2.0,7.0,4.0,1.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,30.0,32.0,33.0,31.0,6.0,12.0,13.0,12.0,11.0,6.0,11.0,17.0,27.0,25.0,11.0,20.0,12.0,8.0,8.0,12.0,16.0,16.0,26.0,21.0,13.0,7.0,9.0,10.0,8.0,33.0,39.0,34.0,24.0,12.0,47.0,46.0,45.0,43.0,51.0,31.0,35.0,33.0,17.0,22.0,38.0,12.0,16.0,10.0,31.0,13.0,17.0,19.0,13.0,15.0,10.0,6.0,7.0,10.0,10.0,6.0,6.0,6.0,2.0,4.0,3.0,1.0,2.0,5.0,7.0,6.0,2.0,5.0,4.0,3.0,3.0,7.0,3.0,9.0,5.0,8.0,3.0,0.0,6.0,1.0,2.0,1.0,10.0,3.0,13.0,10.0,7.0,6.0,1.0,2.0,8.0,2.0,4.0,5.0,3.0,4.0,3.0,1.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,5.0,3.0,2.0,2.0,4.0,5.0,4.0,5.0,4.0,2.0,3.0,7.0,6.0,4.0,7.0,5.0,3.0,4.0,2.0,1.0,5.0,7.0,0.0,11.0,4.0,7.0,12.0,16.0,10.0,8.0,9.0,12.0,6.0,11.0,11.0,10.0,6.0,7.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0
SEQ_264_VIDEO/frame_2.jpg,22.0,3.0,8.0,10.0,12.0,11.0,21.0,10.0,9.0,8.0,6.0,14.0,11.0,10.0,12.0,10.0,4.0,6.0,4.0,9.0,12.0,8.0,7.0,7.0,6.0,13.0,8.0,8.0,12.0,13.0,10.0,12.0,6.0,14.0,17.0,18.0,11.0,6.0,12.0,6.0,11.0,7.0,2.0,5.0,5.0,14.0,16.0,12.0,4.0,22.0,13.0,7.0,3.0,5.0,7.0,4.0,3.0,5.0,11.0,8.0,13.0,7.0,7.0,9.0,6.0,6.0,8.0,3.0,7.0,9.0,7.0,6.0,6.0,6.0,10.0,4.0,13.0,5.0,6.0,7.0,3.0,3.0,13.0,5.0,9.0,5.0,4.0,1.0,7.0,2.0,6.0,5.0,7.0,5.0,4.0,2.0,2.0,4.0,1.0,5.0,0.0,3.0,0.0,4.0,1.0,3.0,2.0,5.0,2.0,6.0,5.0,4.0,5.0,2.0,2.0,2.0,7.0,4.0,2.0,4.0,2.0,3.0,0.0,8.0,3.0,3.0,0.0,0.0,3.0,2.0,4.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,4.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,4.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,5.0,2.0,4.0,4.0,2.0,2.0,1.0,6.0,3.0,6.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0,5.0,6.0,8.0,9.0,5.0,5.0,2.0,5.0,12.0,6.0,6.0,5.0,4.0,9.0,1.0,9.0,17.0,32.0,2.0,30.0,5.0,3.0,4.0,49.0,21.0,25.0,7.0,2.0,6.0,20.0,20.0,9.0,4.0,14.0,17.0,34.0,18.0,15.0,10.0,16.0,12.0,65.0,48.0,18.0,22.0,6.0,9.0,45.0,135.0
SEQ_264_VIDEO/frame_9.jpg,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,6.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,1.0,15.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,6.0,8.0,7.0,3.0,5.0,6.0,4.0,6.0,3.0,6.0,8.0,4.0,2.0,2.0,5.0,3.0,9.0,4.0,3.0,2.0,8.0,18.0,5.0,9.0,25.0,31.0,21.0,20.0,8.0,11.0,12.0,7.0,5.0,7.0,14.0,14.0,18.0,34.0,15.0,16.0,4.0,7.0,10.0,19.0,12.0,10.0,9.0,10.0,14.0,19.0,35.0,18.0,15.0,21.0,55.0,24.0,29.0,18.0,29.0,40.0,33.0,50.0,52.0,43.0,39.0,8.0,14.0,19.0,33.0,30.0,30.0,19.0,18.0,9.0,14.0,24.0,16.0,22.0,14.0,8.0,5.0,3.0,9.0,7.0,9.0,10.0,4.0,6.0,8.0,7.0,5.0,5.0,4.0,3.0,3.0,3.0,1.0,2.0,6.0,4.0,10.0,11.0,11.0,8.0,4.0,4.0,6.0,2.0,1.0,9.0,11.0,15.0,9.0,3.0,2.0,4.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,1.0,0.0,3.0,1.0,0.0,6.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,8.0,7.0,4.0,8.0,5.0,3.0,4.0,4.0,6.0,3.0,2.0,4.0,7.0,6.0,5.0,3.0,6.0,8.0,7.0,13.0,10.0,5.0,8.0,8.0,5.0,11.0,15.0,18.0,8.0,8.0,12.0,3.0,4.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0
SEQ_264_VIDEO/frame_1.jpg,12.0,4.0,2.0,7.0,2.0,5.0,7.0,2.0,5.0,2.0,7.0,3.0,3.0,2.0,5.0,7.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,0.0,3.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,6.0,2.0,10.0,1.0,7.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,3.0,1.0,12.0,4.0,8.0,1.0,7.0,3.0,6.0,8.0,3.0,4.0,10.0,3.0,1.0,3.0,1.0,6.0,4.0,1.0,5.0,6.0,11.0,12.0,3.0,1.0,8.0,3.0,5.0,9.0,6.0,7.0,5.0,8.0,2.0,3.0,7.0,7.0,14.0,6.0,2.0,16.0,8.0,9.0,10.0,9.0,9.0,7.0,9.0,5.0,19.0,14.0,13.0,14.0,12.0,9.0,12.0,10.0,6.0,15.0,12.0,6.0,19.0,17.0,17.0,13.0,8.0,5.0,9.0,9.0,10.0,11.0,19.0,16.0,4.0,11.0,6.0,11.0,10.0,12.0,17.0,17.0,9.0,15.0,19.0,16.0,18.0,14.0,15.0,28.0,24.0,25.0,28.0,29.0,23.0,29.0,19.0,25.0,16.0,24.0,21.0,29.0,33.0,29.0,38.0,26.0,27.0,23.0,24.0,17.0,17.0,11.0,16.0,12.0,17.0,16.0,19.0,23.0,32.0,25.0,15.0,16.0,21.0,21.0,12.0,20.0,8.0,10.0,8.0,9.0,4.0,8.0,6.0,6.0,4.0,6.0,4.0,0.0,3.0,3.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEQ_264_VIDEO/frame_8.jpg,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,3.0,3.0,2.0,2.0,3.0,1.0,11.0,3.0,3.0,5.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,8.0,6.0,4.0,8.0,3.0,6.0,8.0,6.0,6.0,2.0,5.0,7.0,5.0,4.0,4.0,6.0,14.0,19.0,22.0,22.0,33.0,6.0,14.0,1.0,3.0,17.0,11.0,20.0,28.0,6.0,2.0,11.0,28.0,18.0,10.0,19.0,16.0,4.0,8.0,13.0,6.0,14.0,11.0,14.0,12.0,13.0,38.0,25.0,27.0,32.0,20.0,43.0,38.0,40.0,29.0,29.0,18.0,46.0,31.0,41.0,43.0,27.0,26.0,26.0,25.0,9.0,15.0,11.0,31.0,18.0,7.0,19.0,13.0,19.0,11.0,14.0,10.0,9.0,5.0,12.0,8.0,3.0,6.0,10.0,5.0,1.0,7.0,2.0,4.0,3.0,5.0,3.0,7.0,3.0,1.0,3.0,3.0,4.0,2.0,18.0,13.0,2.0,1.0,5.0,0.0,1.0,4.0,3.0,22.0,13.0,6.0,3.0,4.0,3.0,6.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,1.0,4.0,1.0,5.0,0.0,2.0,4.0,0.0,5.0,2.0,2.0,1.0,1.0,5.0,5.0,7.0,2.0,4.0,2.0,8.0,7.0,8.0,7.0,4.0,5.0,3.0,6.0,3.0,11.0,2.0,2.0,6.0,6.0,6.0,9.0,5.0,6.0,4.0,7.0,11.0,20.0,21.0,17.0,13.0,4.0,3.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0
SEQ_264_VIDEO/frame_5.jpg,33.0,31.0,24.0,17.0,20.0,15.0,9.0,3.0,5.0,3.0,1.0,9.0,3.0,6.0,7.0,11.0,8.0,7.0,5.0,4.0,3.0,7.0,3.0,2.0,5.0,2.0,5.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,6.0,1.0,5.0,5.0,4.0,5.0,13.0,4.0,5.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,2.0,2.0,0.0,5.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,0.0,4.0,5.0,5.0,1.0,4.0,4.0,3.0,4.0,6.0,3.0,5.0,6.0,4.0,3.0,6.0,5.0,9.0,16.0,4.0,6.0,3.0,7.0,3.0,3.0,5.0,4.0,6.0,6.0,5.0,7.0,9.0,14.0,18.0,12.0,11.0,9.0,13.0,16.0,18.0,29.0,26.0,42.0,24.0,51.0,23.0,45.0,23.0,30.0,21.0,27.0,44.0,50.0,35.0,31.0,33.0,25.0,21.0,27.0,16.0,13.0,14.0,17.0,7.0,7.0,12.0,11.0,26.0,40.0,65.0,41.0,33.0,20.0,24.0,25.0,28.0,27.0,18.0,25.0,11.0,13.0,12.0,9.0,10.0,5.0,6.0,6.0,10.0,4.0,3.0,5.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEQ_264_VIDEO/frame_6.jpg,4.0,3.0,1.0,4.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,4.0,2.0,0.0,0.0,3.0,4.0,8.0,4.0,0.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,4.0,5.0,0.0,1.0,5.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,11.0,7.0,15.0,5.0,11.0,9.0,24.0,7.0,16.0,8.0,5.0,4.0,6.0,1.0,3.0,7.0,4.0,6.0,2.0,5.0,8.0,0.0,2.0,3.0,7.0,21.0,13.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,5.0,7.0,7.0,7.0,14.0,19.0,16.0,28.0,38.0,20.0,17.0,7.0,10.0,15.0,15.0,17.0,35.0,17.0,11.0,7.0,11.0,12.0,15.0,23.0,8.0,9.0,5.0,5.0,11.0,19.0,11.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,7.0,12.0,30.0,65.0,24.0,78.0,14.0,14.0,24.0,19.0,11.0,33.0,24.0,85.0,32.0,21.0,11.0,6.0,14.0,29.0,24.0,25.0,27.0,12.0,15.0,12.0,11.0,15.0,4.0,11.0,8.0,3.0,4.0,3.0,3.0,4.0,2.0,5.0,14.0,16.0,24.0,23.0,20.0,25.0,15.0,26.0,11.0,15.0,26.0,13.0,6.0,14.0,9.0,2.0,5.0,1.0,5.0,1.0,2.0,5.0,6.0,1.0,2.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
